ID,Title,Category,Completed,Created At,Done At
e461fd2f-f228-465c-bc5e-f5f5c4094e36,a3,Personal,True,2025-08-10T22:42:55.343941,2025-08-17T20:34:41.957491
bf12b4fe-f6ca-4cf9-a97f-7ecf9be02a7b,AA,Personal,True,2025-08-11T21:45:56.399276,2025-08-17T20:36:26.147415
34bd0ae5-62f6-427b-b618-c44ada2eea63,BB,Personal,True,2025-08-11T21:46:35.427461,2025-08-13T22:43:48.464581
bcb15cb1-2a53-47c9-aea1-fcd05b96ba9d,aaa,Personal,True,2025-08-13T22:11:55.773844,2025-08-13T22:17:32.941450
e17964e8-0d33-4273-b5e6-810c8a304b08,bbbbb,Personal,True,2025-08-13T22:22:22.029330,2025-08-13T22:43:28.707703
3c6d012a-752a-4d8e-9dc2-531c687a7941,aaa1,Personal,True,2025-08-14T06:51:18.517406,2025-08-14T06:51:21.359736
04c8da4f-8b2f-495e-bbf8-ae21fdc7f7ae,bbbb,Personal,True,2025-08-14T06:51:25.142761,2025-08-14T06:51:28.556691
6014fd14-2643-463b-9f8d-32ad52bded58,buy food,Personal,True,2025-08-17T20:33:49.226185,2025-08-17T20:34:50.122496
3783daf9-a28a-4b45-81c6-65bc0bcc5054,ali,Personal,True,2025-08-17T20:42:39.054873,2025-08-17T20:43:05.751864
a213d570-f9f4-4a9d-8d34-79097dd68081,reza,Personal,True,2025-08-17T20:42:50.286540,2025-08-17T20:43:02.554679
7fe53d93-066a-4e79-997b-bbc6175b5473,baba,Personal,True,2025-08-17T20:44:03.885386,2025-08-17T20:47:14.136696
0709d45c-d5d3-42a3-8df8-9d4ff1285faa,aaaaaa,Personal,True,2025-08-20T00:25:55.935344,2025-08-20T00:26:02.054725
08e13ff0-484b-45ff-b42c-70dc56b8c087,bbbbbbbb,Personal,False,2025-08-20T00:26:09.253039,
